Dependency metrics,quinta, 2 dez 2021 12:06:03 WET
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
"org.jabref.gui.fieldeditors.JournalEditorViewModel",784,6,1 333,1,1 121,6,1
"org.jabref.gui.fieldeditors.KeywordsEditor",784,6,1 333,1,1 121,5,1
"org.jabref.gui.fieldeditors.LinkedEntriesEditor",784,10,1 333,1,1 121,7,1
"org.jabref.gui.fieldeditors.LinkedEntriesEditorViewModel",784,8,1 333,1,1 121,7,1
"org.jabref.gui.fieldeditors.LinkedFileViewModel",784,45,1 333,9,1 121,22,5
"org.jabref.gui.fieldeditors.LinkedFilesEditor",784,27,1 333,2,1 121,16,1
"org.jabref.gui.fieldeditors.LinkedFilesEditor.ContextAction",784,9,1 333,1,1 121,5,1
"org.jabref.gui.fieldeditors.LinkedFilesEditorViewModel",784,25,1 333,5,1 121,17,2
"org.jabref.gui.fieldeditors.MapBasedEditorViewModel",784,4,1 333,6,1 121,4,1
"org.jabref.gui.fieldeditors.MonthEditorViewModel",784,7,1 333,1,1 121,7,1
"org.jabref.gui.fieldeditors.OptionEditor",784,8,1 333,1,1 121,5,1
"org.jabref.gui.fieldeditors.OptionEditorViewModel",784,4,1 333,3,1 121,4,1
"org.jabref.gui.fieldeditors.OwnerEditor",784,11,1 333,1,1 121,7,1
"org.jabref.gui.fieldeditors.OwnerEditorViewModel",784,6,1 333,1,1 121,6,1
"org.jabref.gui.fieldeditors.PaginationEditorViewModel",784,5,1 333,1,1 121,5,1
"org.jabref.gui.fieldeditors.PatentTypeEditorViewModel",784,5,1 333,1,1 121,5,1
"org.jabref.gui.fieldeditors.PersonsEditor",784,15,1 333,1,1 121,8,1
"org.jabref.gui.fieldeditors.PersonsEditorViewModel",784,9,1 333,1,1 121,5,1
"org.jabref.gui.fieldeditors.SimpleEditor",784,15,1 333,2,1 121,7,1
"org.jabref.gui.fieldeditors.SimpleEditorViewModel",784,6,1 333,1,1 121,4,1
"org.jabref.gui.fieldeditors.TextInputControlBehavior",0,0,0,4,1 122,0,2
"org.jabref.gui.fieldeditors.TypeEditorViewModel",784,5,1 333,1,1 121,5,1
"org.jabref.gui.fieldeditors.URLUtil",784,1,1 333,3,1 121,1,2
"org.jabref.gui.fieldeditors.UrlEditor",784,15,1 333,1,1 121,9,1
"org.jabref.gui.fieldeditors.UrlEditorViewModel",784,9,1 333,1,1 121,8,1
"org.jabref.gui.fieldeditors.YesNoEditorViewModel",784,4,1 333,1,1 121,4,1
